snapshot_date,dataset_generation,variant,run_status,record_type,step,effective_epochs,tokens_processed,assistant_ppl,combined_ppl,train_ppl,target_top1_pct,first_answer_pct,eos_pct,plastic_base_parameters,plastic_drift,output_mod_logit_ratio_pct,elapsed_hours,median_tokens_per_sec,gpu_used_gb,gpu_total_gb,notes
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_mod_plastic4,stopped,best_eval,950,2.111111,105088132,3.560814,3.547602,3.313700,66.606147,50.374688,85.928393,201437184,0.001594158,17.489036,2.352978,13391,13.4,93.5,"MOD plus final four transformer blocks and final LayerNorm"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_mod_plastic4,stopped,last_eval,1350,3.000000,149331513,3.571662,3.557348,3.197559,66.601365,50.291424,87.010824,201437184,0.001846065,19.932637,3.328697,13391,13.4,93.5,"Validation regressed slightly after the step-950 optimum"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_mod_plastic4,stopped,matched_step,200,0.444444,22094998,3.696998,3.682766,3.640429,65.869502,45.267832,86.316958,201437184,0.000614174,10.537108,0.499077,13391,13.4,93.5,"Matched sample order and token budget"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_mod_plastic24,active_snapshot,best_eval,200,0.444444,22094998,3.652026,3.638217,3.595441,66.093533,45.684152,86.316958,1311625216,0.001207116,9.740520,0.859037,8452,13.4,56.1,"Run had reached step 240; latest completed evaluation was step 200"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_2.8b_full_ft,stopped,matched_step,200,0.444444,22094998,3.390764,3.379929,3.335920,67.327884,45.101304,84.457397,2775208960,,,1.423639,3355,19.4,67.3,"Fully fine-tuned dense baseline"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_2.8b_full_ft,stopped,best_and_last_eval,1450,3.222222,160384108,3.240182,3.228706,3.116977,68.244682,50.791007,87.371635,2775208960,,,14.319937,3355,19.4,67.3,"Latest evaluation was also the best"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l1,initialized,no_metrics,,,,,,,,,,,,,,,,"Only steps-per-epoch cache exists; 450 optimizer steps per epoch"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_mod_plastic24,active_snapshot,best_eval,500,1.111111,55310961,3.551082,3.537506,3.438067,66.648200,48.709400,86.428000,1311625216,0.002010180,,2.226000,8452,13.4,56.1,"Later same-date snapshot; nearly full-backbone hybrid"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l1,active_snapshot,best_and_latest_eval,200,0.444444,22094998,3.547530,3.532779,3.497508,66.601350,49.816100,87.388300,1414647808,0.000361230,,0.935000,6842,,,"Expanded model has 1640127360 total parameters; all parameters trainable under quadratic plasticity"
