variant,status,input_dim,output_dim,attention_dim,ffn_dim,attention_unique_tables,ffn_unique_tables,trainable_parameters,best_assistant_ppl,best_combined_ppl,best_step,top1_at_best,last_or_current_step,last_or_current_assistant_ppl
v1_1,complete,128,128,128,256,1,1,51593216,4.0187914483,4.0098968338,1150,0.6634359902,1450,4.0672790056
v1_2,complete,256,256,256,512,1,1,103186432,3.9858704572,3.9770478638,950,0.6647983327,1400,4.1664118593
v1_3,complete,256,256,256,512,1,1,103186432,3.9723633135,3.9635957830,950,0.6660208321,1090,4.0289411902
v1_4,complete,256,256,512,1024,1,1,179568640,3.9723847898,3.9636537675,600,0.6647577331,890,3.9967858056
v2,complete,128,128,64,128,24,24,254640128,4.0429226086,4.0338851613,950,0.6614849533,1450,4.0731605193
v2_1,in_progress_snapshot,128,128,128,64,24,24,254640128,4.1028453430,4.0936090081,600,0.6586723025,640,4.1028453430
pythia_2.8b_full_ft,complete,0,0,0,0,0,0,2775208960,3.5189836833,3.5118950311,2250,0.6859732855,2400,3.5201600666
